neighborhood,totalPop,margin
Armatage,4915,262
Audubon Park,5007,237
Bancroft,3513,231
Beltrami,1142,144
Bottineau,1618,170
Bryant,3179,324
Bryn - Mawr,2798,124
CARAG,5723,262
Cedar Riverside,8576,760
Cedar - Isles - Dean,2901,270
Central,8737,451
Cleveland,2980,213
Columbia Park,1717,91
Como,7208,590
Cooper,3614,199
Corcoran,4239,306
Diamond Lake,5583,224
Downtown East,1711,123
Downtown West,7357,482
ECCO,2497,197
East Harriet,3667,158
East Isles,3315,222
East Phillips,4743,631
Elliot Park,6616,446
Ericsson,3158,155
Field,2511,103
Folwell,5196,587
Fulton,6194,171
Hale,3341,151
Harrison,3826,644
Hawthorne,4553,360
Hiawatha,5798,367
Holland,4946,570
Howe,6624,233
Jordan,8483,631
Keewaydin,3315,231
Kenny,3606,182
Kenwood,1470,136
King Field,7718,293
Lind - Bohanon,5475,395
Linden Hills,8108,294
Logan Park,2246,234
Longfellow,4613,282
Loring Park,8688,477
Lowry Hill,3854,232
Lowry Hill East,6236,507
Lyndale,7436,587
Lynnhurst,6025,172
Marcy Holmes,11750,722
Marshall Terrace,1544,100
McKinley,3179,374
Mid - City Industrial,244,20
Midtown Phillips,5196,704
Minnehaha,4240,226
Morris Park,2922,167
Near - North,6946,351
Nicollet Island - East Bank,1377,87
North Loop,5072,518
Northeast Park,614,78
Northrop,4602,175
Page,1909,92
Phillips West,5190,509
Powderhorn Park,9251,565
Prospect Park - East River Road,8052,433
Regina,2317,163
Seward,7376,428
Sheridan,2929,178
Shingle Creek,3226,375
St. Anthony East,2168,195
St. Anthony West,2542,153
Standish,6546,267
Steven's Square - Loring Heights,3963,306
Sumner - Glenwood,1767,176
Tangletown,4461,190
University of Minnesota,5962,353
Ventura Village,6028,484
Victory,4550,279
Waite Park,5558,245
Webber - Camden,5296,322
Wenonah,4464,223
West Calhoun,1938,146
Whittier,14828,781
Willard - Hay,9345,538
Windom,4844,240
Windom Park,5381,279
